global_neuron_idx,local_neuron_idx,sae_idx,sae_config,correlation,p_value,abs_correlation
389,5,2,"(64, 4)",-0.1874237021393462,1.4614260972076686e-49,0.1874237021393462
336,80,1,"(128, 6)",-0.18729648793689446,1.7013294801311424e-49,0.18729648793689446
375,119,1,"(128, 6)",-0.18469758224213945,3.7062810619812596e-48,0.18469758224213945
329,73,1,"(128, 6)",-0.18330676811179225,1.8919201391867721e-47,0.18330676811179225
385,1,2,"(64, 4)",0.18155913899173523,1.4403135395856566e-46,0.18155913899173523
70,70,0,"(256, 8)",0.18081211472296937,3.408396508428621e-46,0.18081211472296937
398,14,2,"(64, 4)",0.18071974402822427,3.790477556749598e-46,0.18071974402822427
377,121,1,"(128, 6)",-0.1803336081101759,5.906337555624773e-46,0.1803336081101759
355,99,1,"(128, 6)",0.1787209047885438,3.724860702137871e-45,0.1787209047885438
437,53,2,"(64, 4)",0.177480568411385,1.5173019644862833e-44,0.177480568411385
401,17,2,"(64, 4)",0.17684358365754452,3.1087171085398484e-44,0.17684358365754452
319,63,1,"(128, 6)",0.17628626583826976,5.809807406056168e-44,0.17628626583826976
413,29,2,"(64, 4)",-0.17549169339910753,1.4118687603704321e-43,0.17549169339910753
271,15,1,"(128, 6)",-0.17155341171151478,1.0817445943589771e-41,0.17155341171151478
428,44,2,"(64, 4)",0.17125357502237923,1.4988061168830466e-41,0.17125357502237923
282,26,1,"(128, 6)",-0.17113745709021683,1.7002827474166698e-41,0.17113745709021683
416,32,2,"(64, 4)",-0.17089704810177742,2.2070088229082015e-41,0.17089704810177742
87,87,0,"(256, 8)",0.1706159149160012,2.992710199726426e-41,0.1706159149160012
372,116,1,"(128, 6)",0.17060274603085282,3.035669130777327e-41,0.17060274603085282
76,76,0,"(256, 8)",0.17003796384599199,5.587884114066764e-41,0.17003796384599199
334,78,1,"(128, 6)",-0.1683881851125042,3.2812632485032742e-40,0.1683881851125042
141,141,0,"(256, 8)",0.1681242532543408,4.348148062255705e-40,0.1681242532543408
370,114,1,"(128, 6)",0.1666622976626042,2.0507037394059127e-39,0.1666622976626042
