neuron_idx,correlation,abs_correlation,sae_idx,sae_config,is_interpreted,umap_x,umap_y
327,0.3768200142431944,0.3768200142431944,1,"(128, 6)",True,0.65874237,8.623996
423,0.36679574316888164,0.36679574316888164,2,"(64, 4)",True,0.6778506,8.588916
438,0.34268638124895623,0.34268638124895623,2,"(64, 4)",True,0.6689972,8.629909
302,0.3405656670898894,0.3405656670898894,1,"(128, 6)",True,0.7241538,8.554863
88,0.33627661204108383,0.33627661204108383,0,"(256, 8)",True,0.7058072,8.59198
429,0.3318980328165495,0.3318980328165495,2,"(64, 4)",True,0.68475866,8.595761
266,0.32846440688631406,0.32846440688631406,1,"(128, 6)",True,0.7352085,8.615406
55,0.321794738524161,0.321794738524161,0,"(256, 8)",True,0.93583244,8.4639635
440,0.29728169532773735,0.29728169532773735,2,"(64, 4)",True,1.38111,8.449634
392,-0.2783422539908956,0.2783422539908956,2,"(64, 4)",True,1.3754432,8.431549
145,0.2719905044666489,0.2719905044666489,0,"(256, 8)",True,2.7063174,8.557201
387,0.26182876238585673,0.26182876238585673,2,"(64, 4)",True,0.95134526,8.4721775
279,0.24660697750568938,0.24660697750568938,1,"(128, 6)",True,3.052009,8.313857
309,0.24291520551549722,0.24291520551549722,1,"(128, 6)",True,2.4750428,7.951508
399,0.24277006309220395,0.24277006309220395,2,"(64, 4)",True,1.38283,8.371875
402,-0.2417617923429397,0.2417617923429397,2,"(64, 4)",True,1.3403293,8.439249
239,0.23852063238290516,0.23852063238290516,0,"(256, 8)",True,2.2289903,7.845583
338,0.2382201984025214,0.2382201984025214,1,"(128, 6)",True,1.3912967,8.401982
47,0.23725084047733497,0.23725084047733497,0,"(256, 8)",True,3.3498518,7.9625187
200,0.2308748078235335,0.2308748078235335,0,"(256, 8)",True,4.80106,8.933644
348,0.22594097706450333,0.22594097706450333,1,"(128, 6)",True,3.655583,8.769049
411,-0.22568500000844488,0.22568500000844488,2,"(64, 4)",True,2.2723005,7.592482
383,0.2225615527245979,0.2225615527245979,1,"(128, 6)",True,4.8141866,8.913197
396,-0.21798788299618316,0.21798788299618316,2,"(64, 4)",True,2.4363062,7.213863
13,0.2175363329166777,0.2175363329166777,0,"(256, 8)",True,5.3673763,8.03157
444,-0.21651809126419602,0.21651809126419602,2,"(64, 4)",True,3.543832,7.923341
44,0.2162546987051293,0.2162546987051293,0,"(256, 8)",True,5.3134756,7.867905
388,-0.2121227076273245,0.2121227076273245,2,"(64, 4)",True,4.3113084,7.7258
433,-0.21208668722497492,0.21208668722497492,2,"(64, 4)",True,2.106575,8.311343
286,-0.1993836896884567,0.1993836896884567,1,"(128, 6)",True,3.9662743,7.4637995
182,0.1960401819432209,0.1960401819432209,0,"(256, 8)",True,7.3421793,9.234131
313,-0.19439888204171432,0.19439888204171432,1,"(128, 6)",True,4.1214366,8.913906
367,0.19065832762405208,0.19065832762405208,1,"(128, 6)",True,6.0905695,5.0770125
